username,TeamName
vk4x100we4,TeamEpsilon
2h7f1b0v6v,TeamAlpha
hcw2fkmxm5,TeamDelta
m9udlp3y65,TeamDelta
0qaee1jvrw,TeamBeta
modnyukduj,TeamDelta
53ebevnrz3,TeamBeta
q4wa8fxrj6,TeamEpsilon
ytrn77jyqi,TeamBeta
6qepweay0e,TeamDelta
rjhsxao63x,TeamGamma
zo342gzy2e,TeamGamma
9hug2if20b,TeamBeta
al7i1000ok,TeamAlpha
mljnc8ei3q,TeamAlpha
edue3cnvtc,TeamDelta
1l9i3ndvnt,TeamDelta
uxuicr1ced,TeamAlpha
u3ud4r3su5,TeamGamma
d3428f4vof,TeamDelta
auolusq3u7,TeamEpsilon
c74a9t45bf,TeamAlpha
4uadbaryt5,TeamDelta
fo4q74m38h,TeamAlpha
u144a1b9bm,TeamAlpha
n9gtfr1fja,TeamGamma
l02o6d37rv,TeamEpsilon
6lyd1lhj31,TeamAlpha
ofw1p4vugp,TeamAlpha
ib59x9qawc,TeamAlpha
s4kr5ffkqo,TeamEpsilon
i6i8a4a8ga,TeamAlpha
803ocmx6sx,TeamGamma
540zptynf6,TeamBeta
0iqb52u3sz,TeamEpsilon
8pspr4ho7z,TeamDelta
e0vl26abmj,TeamGamma
azoclr1e0t,TeamBeta
15wy8dvj3e,TeamGamma
mevxil1dnb,TeamAlpha
3calbf3810,TeamDelta
33vfcis6vh,TeamGamma
afe0gd8n6w,TeamEpsilon
obuqr0a6xf,TeamDelta
9xy60ht6il,TeamGamma
arp657oaks,TeamDelta
91wk1o6kqh,TeamDelta
xpyzj7p1ad,TeamDelta
hoedx0pt9i,TeamEpsilon
0atjlfnthi,TeamBeta
riz0ecprr2,TeamEpsilon
hnduvttbzj,TeamGamma
tlx3lx5xxd,TeamDelta
wm4k7tjoby,TeamEpsilon
les71civj6,TeamAlpha
1hefh0csj2,TeamDelta
ug0gxhclht,TeamDelta
2y5kz0hzgn,TeamGamma
t2vuo3t4s0,TeamEpsilon
md53zn5dxc,TeamGamma
b3nx4p5yvs,TeamBeta
eubeu3sbw4,TeamGamma
pyvm23g0um,TeamBeta
nyiqhd241u,TeamAlpha
9hj4oabnku,TeamDelta
1zjks11n9h,TeamDelta
zwdc7u9e2r,TeamAlpha
q1kyq3iemn,TeamDelta
lbvo3dekpt,TeamDelta
m3tt3dh8hh,TeamBeta
56b5shum48,TeamDelta
ghz9wqudc1,TeamEpsilon
kbgs59s35d,TeamGamma
ecb7qjbwwd,TeamEpsilon
ih7mthflwc,TeamGamma
6g2ewsev9t,TeamGamma
mok2vwgvr1,TeamAlpha
9u11jfe8i4,TeamAlpha
rq147x6ei9,TeamEpsilon
2u4782gwm1,TeamBeta
gv69r1yl9t,TeamDelta
xspkw2du1w,TeamEpsilon
rwhklt4udb,TeamEpsilon
xx4pbocmsu,TeamEpsilon
jxi48ilvqb,TeamBeta
47cxqjubbo,TeamGamma
hx47eevjo2,TeamGamma
cxeyn4i561,TeamGamma
wxl9k9scjf,TeamBeta
v524l0uage,TeamBeta
nn0hb2g3ca,TeamGamma
c4uoyjasvm,TeamEpsilon
6aa48f7rer,TeamAlpha
lg6kh2vrub,TeamAlpha
ap1nyaw0e0,TeamBeta
65v540w2xj,TeamAlpha
1dkr7hl02y,TeamEpsilon
42hyzrp1cg,TeamBeta
6bjlf3jnxb,TeamBeta
ew9bqwk3ff,TeamEpsilon
d9yms1p1uw,TeamGamma
rnixhvymrc,TeamGamma
3uzbqumphd,TeamGamma
r4ljexmok6,TeamBeta
c83jo13b3p,TeamBeta
4d0l76tjyg,TeamGamma
82mhk09gb3,TeamGamma
i6i5k9jzwj,TeamEpsilon
hiw5l002hs,TeamAlpha
npksb1opjv,TeamBeta
6b31twbwyn,TeamEpsilon
6nwbyzb4hs,TeamDelta
v747ji1g1g,TeamEpsilon
8579l030t9,TeamDelta
te7a07gw5u,TeamDelta
3bkkseb1yc,TeamGamma
6g7l1b9g9f,TeamAlpha
2iiqhnrx4s,TeamEpsilon
qtm4m50la4,TeamBeta
rcejuwgq9m,TeamEpsilon
wd6d4gwpg4,TeamAlpha
eme6540yqx,TeamGamma
o6w1qdyzo4,TeamBeta
y0d0b4gurr,TeamEpsilon
svyifs9gm8,TeamAlpha
0w5tg8ox41,TeamGamma
fmov0kynxk,TeamGamma
2k4f9wu0h9,TeamEpsilon
p3mbh2rslf,TeamDelta
sy7zvus6ar,TeamDelta
xcyvrd8rg0,TeamEpsilon
dypfebhcn5,TeamEpsilon
pr9hkbv61d,TeamDelta
5xrzg3uc10,TeamAlpha
5e07kvvh95,TeamAlpha
6n615rz20d,TeamDelta
c3s57z46pt,TeamGamma
3vqyqk8j03,TeamEpsilon
mz97reofaz,TeamEpsilon
yce6vfqr58,TeamGamma
cz4iapfr3z,TeamGamma
beoeww75pp,TeamAlpha
phn6w4w5fo,TeamGamma
pbmhr2sdf2,TeamBeta
evb920l0ij,TeamDelta
et2jezwypx,TeamAlpha
ij9fgqkb6m,TeamEpsilon
cq0hfkd1ve,TeamGamma
chq3gxot0q,TeamDelta
r6dn03u8wh,TeamEpsilon
